,title,house_type,address,house_age,floor_space,price,per_price
70,鑫時代景觀美二房平車,華廈,台中市北屯區太原路三段,1,42.27,1399,33.31
71,裕翔研山四房平車視野戶,華廈,台中市北屯區,0,60.58,2338,38.97
72,崇興路8米大面寬店住,公寓,台中市北屯區崇興路一段,40,40.44,1280,32.0
73,裕翔研山四房平車視野戶,華廈,台中市北屯區,0,59.56,2338,39.63
74,仁美太子地球四房平車,華廈,台中市北屯區興安路二段,22,52.5,1768,34.0
75,裕翔研山三房平車帝王戶  ,華廈,台中市北屯區,0,59.51,2138,36.24
76,漢口商圈大面寬店面,公寓,台中市北屯區崇興路一段,40,40.44,1280,32.0
77,太原商圈大面寬臨路店住,公寓,台中市北屯區崇興路一段,40,40.44,1280,32.0
78,大漁建設ONE,華廈,台中市北屯區南興路,0,43.08,1480,34.42
79,太子地球村視野美四房平車,華廈,台中市北屯區興安路二段,22,52.5,1768,34.0
80,機捷特區 大漁ONE三房平車,華廈,台中市北屯區南興路,2,43.08,1480,34.42
81,北屯好市多三房平車廈,華廈,台中市北屯區南興路,2,43.08,1480,34.42
82,太子地球村優質四房平車,華廈,台中市北屯區興安路二段,22,52.5,1768,34.0
83,北屯國小七米大面寬店面,公寓,台中市北屯區崇興路一段,40,40.45,1280,32.0
84,漢口太原大面寬店面,公寓,台中市北屯區崇興路一段,40,40.44,1280,32.0
85,好市多二房平車視野戶,華廈,台中市北屯區敦富路,1,36.26,1288,35.78
86,風格畫境大三房平車,華廈,台中市北屯區九龍街,30,44.97,1258,28.59
87,風格畫境視野4房平車,華廈,台中市北屯區九龍街,30,55.93,1580,28.73
88,太原車站旁3+1房平車,華廈,台中市北屯區南京東路三段,32,51.52,1280,25.1
89,心之所向F15棟三房平車,華廈,台中市北屯區環太東路,0,46.19,1298,28.22
90,太原車站精美3+1房,華廈,台中市北屯區南京東路三段,32,51.52,1280,25.1
91,13米大面寬金店雙平車,華廈,台中市北屯區青島路四段,28,171.9,4980,29.12
92,G6站旁國泰次頂樓平車,華廈,台中市北屯區文昌二街,26,47.67,1398,29.74
93,原村面山景庭園別墅,透天,台中市北屯區東山路二段,23,117.13,2880,24.62
94,低總價高樓層二房平車,華廈,台中市北屯區北屯路,26,24.34,838,34.92
95,勝麗方程市大三房獨立車位,華廈,台中市北屯區敦富路,1,50.96,1750,35.0
96,秒殺G5捷運3房,華廈,台中市北屯區遼寧路一段,26,32.5,898,28.06
97,東山商圈三房平車,華廈,台中市北屯區和祥街,31,41.99,989,24.12
98,11期德鑫MIT大3房平車,華廈,台中市北屯區崇德二路二段,6,58.76,2388,41.17
99,我愛龍邦大樓三房捷運宅,華廈,台中市北屯區文心路四段,26,42.99,1388,33.05
100,高樓層視野三房雙車位,華廈,台中市北屯區遼寧路一段,6,62.19,1898,30.61
