,title,house_type,address,house_age,floor_space,price,per_price
64,北屯惠宇大器三房雙平車位,電梯大樓,台中市北屯區太原路三段,7,76.07,2188,28.76
65,龍邦鳳翔３房平車,電梯大樓,台中市北屯區中清路二段,30,49.73,1250,25.14
66,巴黎第六區兩房雙衛空屋,電梯大樓,台中市北屯區文心路四段,9,29.5,1188,40.27
67,敬建築四房平車遠眺十四期,電梯大樓,台中市北屯區山西路二段,23,69.1,1980,28.65
68,獨家專任水湳兩房平車,華廈,台中市北屯區瀋陽北路,21,28.72,898,31.27
69,水湳．中國醫三房車位,華廈,台中市北屯區雷中街,28,33.29,890,26.73
70,生活藝境大坪數,電梯大樓,台中市北屯區崇興路一段,31,115.38,2077,18.0
71,品味龍邦視野美屋,電梯大樓,台中市北屯區文心路四段,26,43.16,1158,26.83
72,入門玄關三房附平車３陽台,電梯大樓,台中市北屯區九龍街,30,44.97,1258,27.97
73,臨單元十二高樓層美居,電梯大樓,台中市北屯區旱溪西路三段,2,27.67,1050,37.95
74,萌未來三房附雙車位,電梯大樓,台中市北屯區松竹五路一段,2,50.02,2022,40.42
75,獨家低總價北屯二房平車位,電梯大樓,台中市北屯區環太東路,2,28.46,868,30.5
76,瀋陽路大三房美寓,公寓,台中市北屯區瀋陽路一段,36,36.59,720,19.68
77,一景苑露臺精裝美宅,電梯大樓,台中市北屯區崇德十路一段,5,83.73,3680,43.95
78,崇德商圈三房平車捷運宅,電梯大樓,台中市北屯區崇德路二段,27,41.63,1198,28.78
79,達麗居山高樓三房平車位,電梯大樓,台中市北屯區敦富路,0,41.56,1698,40.86
80,ＶＲ機捷大三房平車首選,電梯大樓,台中市北屯區敦富路,1,50.96,1788,35.09
81,旅順路４房公寓,公寓,台中市北屯區旅順路二段,37,43.91,858,19.54
82,太原綠園道四房平面車位,電梯大樓,台中市北屯區太原路三段,17,49.53,1580,31.9
83,北屯建功國小三房車位美屋,電梯大樓,台中市北屯區東山路一段,30,51.55,1288,24.99
84,近捷運兩房平車附大露臺戶,華廈,台中市北屯區瀋陽路三段,5,41.37,1558,37.66
85,惠宇開朗三房平車視野戶,電梯大樓,台中市北屯區太原路三段,1,56.94,2250,39.52
86,金谷巷三房華廈金ＧＯＯＤ,華廈,台中市北屯區昌平路二段,29,26.64,880,33.03
87,宏台松御壓軸裝潢兩房車位,電梯大樓,台中市北屯區松竹路二段,2,38.05,1458,38.32
88,小資可置產收租兩房首選,公寓,台中市北屯區東山路一段,43,14.56,398,27.34
89,崇德商圈四房雙平面車位,華廈,台中市北屯區旅順路一段,28,74.3,1680,22.61
90,三木凱撒假期高樓美麗套房,電梯大樓,台中市北屯區文心路四段,27,10.07,348,34.56
91,瀋陽路方正三房公寓１,公寓,台中市北屯區瀋陽路三段,37,24.44,598,24.47
92,勝麗三房平車視野這間讚,電梯大樓,台中市北屯區敦富路,1,46.62,1550,33.25
93,松竹五路美透天,透天,台中市北屯區松竹五路二段,20,55.9,2580,46.15
94,興安商圈一層一戶四房平車,華廈,台中市北屯區興安路二段,30,60.95,1350,22.15
95,北屯四房雙平車位河岸視野,電梯大樓,台中市北屯區祥順東路二段,4,70.71,2088,29.53
96,川睦其藝裝潢三房,電梯大樓,台中市北屯區文心路四段,4,68.36,3480,50.91
97,太子地球村優選視野戶,電梯大樓,台中市北屯區興安路二段,22,52.51,1768,33.67
98,溫布頓三房格局機上,電梯大樓,台中市北屯區東光路,30,36.39,1028,28.25
99,十期朝南美三房車位,電梯大樓,台中市北屯區軍福十二路,5,42.99,1480,34.43
100,太宇尊爵高樓視野兩房平車,電梯大樓,台中市北屯區北屯路,26,24.35,838,34.41
101,水湳鼎佳光曦成家首選,電梯大樓,台中市北屯區陳平路,1,38.36,1468,38.27
102,水湳鼎佳光曦全新未住,電梯大樓,台中市北屯區陳平路,1,38.36,1550,40.41
103,店長推薦！鑫時代高樓河畔,電梯大樓,台中市北屯區太原路三段,1,42.27,1398,33.07
104,瀋陽路方正三房公寓２,公寓,台中市北屯區瀋陽路三段,37,24.44,738,30.2
105,全新臨路石材獨棟別墅,透天,台中市北屯區景賢七路,1,116.81,6288,53.83
106,崇德昌平商圈兩房車位,電梯大樓,台中市北屯區安順四街,30,36.5,898,24.6
107,近太原車站美寓１,公寓,台中市北屯區太原路三段,38,20.77,588,28.31
108,近太原車站美寓２,公寓,台中市北屯區太原路三段,38,21.4,588,27.48
109,近捷運Ｇ５重新裝修美三房,公寓,台中市北屯區遼陽五街,38,29.18,768,26.32
110,低總價真美三房附平面車位,電梯大樓,台中市北屯區九龍街,30,36.97,928,25.1
111,稀有勝美松竹四房平車位,電梯大樓,台中市北屯區松竹路二段,8,59.16,2168,36.65
112,昌平商圈世代昌平溫馨兩房,華廈,台中市北屯區昌平路二段,28,31.12,1080,34.7
113,專營，惠宇敦北，歡迎委託,電梯大樓,台中市北屯區南興路,2,50.64,2345,46.31
114,１１期登陽廊香裝潢美屋,電梯大樓,台中市北屯區山西路三段,7,90.56,4280,47.26
115,國泰ＰＬＵＳ高樓現代裝潢,電梯大樓,台中市北屯區崇德八路一段,2,48.6,2988,61.48
116,ＶＲ°重金打造歐洲風情畫,華廈,台中市北屯區軍和街,26,47.23,1400,29.64
117,ＶＲ興安商圈精美大兩房,華廈,台中市北屯區崇德二路一段,28,29.94,898,29.99
118,美別墅土地單價不用５０萬,透天,台中市北屯區友祥街,45,40.99,4680,114.17
119,１１期近公園精銳別墅,透天,台中市北屯區昌平東二路,16,114.09,3960,34.71
120,１１期３房高樓美視野戶,電梯大樓,台中市北屯區山西路三段,7,64.21,3698,57.59
121,生態公園獨棟電梯會所別墅,透天,台中市北屯區和祥五街,4,215.33,9800,45.51
122,㊣昌平商圈大三房休旅車位,電梯大樓,台中市北屯區松和街,12,48.34,1458,30.16
123,和福路寶旺精美店墅,透天,台中市北屯區和福路,17,65.75,2880,43.8
124,崇德藝術特區美三房,華廈,台中市北屯區崇德七路,32,47.61,1450,30.46
125,松竹捷運商圈。三房三衛,電梯大樓,台中市北屯區遼寧路一段,31,39.37,1288,32.72
